Goodyera rubicunda (Blume) Lindl.	ORCHIDACEAE(蘭科)\n毛苞斑葉蘭\n長苞斑葉蘭 
Ipomoea quamoclit L.	CONVOLVULACEAE\n蔦蘿 
Ipomoea triloba L.	CONVOLVULACEAE\n紅花野牽牛 
Ipomoea biflora (L.) Persoon	CONVOLVULACEAE\n白花牽牛 
Ipomoea carnea Jacq. subsp. fistulosa (Mart. ex Choisy) D. Austin	CONVOLVULACEAE\n樹牽牛 
Ipomoea imperati (Vahl) Griseb.	CONVOLVULACEAE\n厚葉牽牛 
Ipomoea indica (Burm. f.) Merr.	CONVOLVULACEAE\n銳葉牽牛 
Ipomoea littoralis Blume	CONVOLVULACEAE\n海牽牛 
Ipomoea mauritiana Jacq.	CONVOLVULACEAE\n掌葉牽牛 
Ipomoea sumatrana (Blume) Oostst.	CONVOLVULACEAE\n蘇門答臘牽牛 
Ipomoea violacea L.	CONVOLVULACEAE\n圓萼天茄兒 
Ipomoea wrightii A. Gray	CONVOLVULACEAE\n槭葉小牽牛 
Jacquemontia paniculata (Burm. f.) Hall. f.	CONVOLVULACEAE\n娥房藤 
Jacquemontia tamnifolia (L.) Griseb.	CONVOLVULACEAE\n長梗毛娥房藤 
Lepistemon binectariferum (Wall.) Kuntze var. trichocarpum (Gagnepain) van Ooststr.	CONVOLVULACEAE\n鮮蕊藤 
Lepistemon intermedius Hallier f.	CONVOLVULACEAE\n光滑鮮蕊藤 
Merremia gemella (Burm. f.) Hallier f.	CONVOLVULACEAE\n菜欒藤 
Merremia hederacea (Burm. f.) Hallier f.	CONVOLVULACEAE\n卵葉菜欒藤 
Merremia hirta (L.) Merr.	CONVOLVULACEAE\n變葉姬旋花 
Merremia quinata (R. Brown) Oostst.	CONVOLVULACEAE\n掌葉姬旋花 
Merremia similis Elmer	CONVOLVULACEAE\n紅花姬旋花 
Merremia umbellata (L.) Hallier f.	CONVOLVULACEAE\n毛姬旋花 
Merremia vitifolia (Burm. f.) Hallier f.	CONVOLVULACEAE\n掌葉菜欒藤 
Operculina turpethum (L.) S. Manso	CONVOLVULACEAE\n盒果藤 
Stictocardia tiliifolia (Desr.) Hallier f.	CONVOLVULACEAE\n大萼旋花 
Xenostegia tridentata (L.) D. F. Austin & Staples	CONVOLVULACEAE\n戟葉菜欒藤 
Hydrolea zeylanica (L.) Vahl	HYDROPHYLLACEAE\n探芹草 
Bothriospermum zeylanicum (J. Jacq.) Druce	BORAGINACEAE\n細纍子草 
Coldenia procumbens L.	BORAGINACEAE\n臥莖同籬生果草 
Cordia dichotoma Forst. f.	BORAGINACEAE\n破布子 
Cordia aspera G. Forst. subsp. kanehirai (Hayata) H. Y. Liu	BORAGINACEAE\n金平氏破布子 
Cynoglossum alpestre Ohwi	BORAGINACEAE\n高山倒提壺 
Cynoglossum lanceolatum Forssk.	BORAGINACEAE\n小花倒提壺 
Cynoglossum furcatum Wallich	BORAGINACEAE\n琉璃草 
Ehretia dicksonii Hance	BORAGINACEAE\n破皮烏 
Ehretia longiflora Champ. ex Benth.	BORAGINACEAE\n長花厚殼樹\n山檳榔\n 
Ehretia resinosa Hance	BORAGINACEAE\n恒春厚殼樹 
Ehretia acuminata R. Brown	BORAGINACEAE\n厚殼樹 
Ehretia philippinensis A. DC.	BORAGINACEAE\n蘭嶼厚殼樹 
Heliotropium formosanum I. M. Johnst.	BORAGINACEAE\n山豆根\n臺灣天芹菜\n 
Heliotropium indicum L.	BORAGINACEAE\n狗尾草 
Heliotropium procumbens Mill. var. depressum (Cham.) H. Y. Liu	BORAGINACEAE\n伏毛天芹菜 
Thyrocarpus sampsonii Hance	BORAGINACEAE\n盾果草 
Tournefortia sarmentosa Lam.	BORAGINACEAE\n冷飯藤 
Tournefortia argentea L. f.	BORAGINACEAE\n白水木 
Trichodesma calycosum Collett & Hemsl.	BORAGINACEAE\n假酸漿 
Trigonotis formosana Hayata var. elevatovenosa (Hayata) S. D. Shen & J. C. Wang	BORAGINACEAE\n台北附地草 
Trigonotis formosana Hayata	BORAGINACEAE\n台灣附地草 
Trigonotis nankotaizanensis (Sasaki) Masam. & Ohwi ex Masam.	BORAGINACEAE\n南湖附地草 
Trigonotis peduncularis (Trev.) Benth. ex Baker & S. Moore	BORAGINACEAE\n附地菜 
Carmona retusa (Vahl) Masam.	BORAGINACEAE\n滿福木 
Lithospermum zollingeri DC.	BORAGINACEAE\n梓木草 
Avicennia marina (Forsk.) Vierh.	VERBENACEAE\n海茄冬 
Callicarpa dichotoma (Lour.) K. Koch	VERBENACEAE\n紫珠 
Callicarpa formosana Rolfe	VERBENACEAE\n杜虹花\n台灣紫珠\n 
Callicarpa formosana Rolfe f. albiflora Sawada & Yamamoto	VERBENACEAE\n白粗糠仔 
Callicarpa formosana Rolfe var. longifolia Suzuki	VERBENACEAE\n長葉杜虹花\n長葉粗糠樹\n 
Callicarpa formosana Rolfe var. glabrata T. T. Chen\	 S. M. Chaw & Yuen P. Yang	VERBENACEAE\nVERBENACEAE\n六龜粗糠樹 \n
Callicarpa hypoleucophylla W. F. Lin & I. L. Wang	VERBENACEAE\n灰背葉紫珠\n裡白杜虹花\n 
Callicarpa japonica Thunb. var. luxurians Rehd.	VERBENACEAE\n朝鮮紫珠\n蘭嶼女兒茶\n 
Callicarpa kochiana Makino	VERBENACEAE\n鬼紫珠\n枇杷葉紫珠\n 
Callicarpa longissima (Hemsl.) Merr.	VERBENACEAE\n長葉紫珠 
Callicarpa pilosissima Maxim.	VERBENACEAE\n細葉紫珠\n紅面將軍\n 
Callicarpa randaiensis Hayata	VERBENACEAE\n巒大紫珠 
Callicarpa remotiserrulata Hayata	VERBENACEAE\n疏齒紫珠\n恆春紫珠\n 
Callicarpa remotiflora Lin & Wang	VERBENACEAE\n疏花紫珠 
Callicarpa tikusikensis Masam.	VERBENACEAE\n銳葉紫珠 
Caryopteris incana (Thunb. ex Houtt.) Miq.	VERBENACEAE\n灰葉蕕 
Clerodendrum canescens Wall. ex Walpers	VERBENACEAE\n白毛臭牡丹 
Clerodendrum cyrtophyllum Turcz.	VERBENACEAE\n大青 
Clerodendrum inerme (L.) Gaertn.	VERBENACEAE\n苦林盤\n白花苦林盤\n 
Clerodendrum ohwi Kanehira & Hatusima.	VERBENACEAE\n花蓮海州常山\n大井氏海洲常山\n 
Clerodendrum trichotomum Thunb.	VERBENACEAE\n海州常山\n山豬枷\n 
Clerodendrum kaempferi (Jacq.) Siebold ex Steud.	VERBENACEAE\n龍船花 
Lantana camara L.	VERBENACEAE\n馬櫻丹\n五龍蘭\n 
Phyla nodiflora (L.) Greene	VERBENACEAE\n鴨舌癀\n擬鴨舌癀\n 
Premna microphylla Turcz.	VERBENACEAE\n臭黃荊\n小葉臭魚木\n 
Premna odorata Blanco	VERBENACEAE\n毛魚臭木 
Premna hengchunensis S. Y. Lu & Yuen P. Yang	VERBENACEAE\n恆春臭黃荊 
Premna octonervia Merr. & Metc.	VERBENACEAE\n八脈臭黃荊 
Premna serratifolia Linn.	VERBENACEAE\n臭娘子 
Sphenodesme involucrata (Presl) B. L. Robinson	VERBENACEAE\n爪楔翅藤\n楔翅藤\n 
Stachytarpheta jamaicensis (L.) Vahl	VERBENACEAE\n長穗木\n木馬鞭\n 
Verbena officinalis L.	VERBENACEAE\n馬鞭草\n鐵馬鞭\n 
Verbena brasiliensis Vell.	VERBENACEAE\n狹葉馬鞭草 
Verbena bonariensis L.	VERBENACEAE\n柳葉馬鞭草 
Vitex negundo L.	VERBENACEAE\n黃荊\n埔姜仔\n埔荊茶
Vitex quinata (Lour.) F. N. Williams	VERBENACEAE\n山埔姜\n烏甜樹\n 
Vitex rotundifolia L. f.	VERBENACEAE\n海埔姜\n山埔姜\n白埔姜
Vitex trifolia L.	VERBENACEAE\n三葉蔓荊 
Callitriche japonica Engelm. ex Hegelm	CALLITRICHACEAE\n日本水馬齒 
Callitriche verna L.	CALLITRICHACEAE\n水馬齒 
Callitriche peploides Nutt.	CALLITRICHACEAE\n凹果水馬齒 
Acrocephalus indicus (Burm. f. ) Kuntze	LABIATAE\n頂頭花\n團花草\n 
Agastache rugosa (Fisch. & Mey.) Kuntze	LABIATAE\n藿香 
Ajuga dictyocarpa Hayata	LABIATAE\n網果筋骨草 
Ajuga nipponensis Makino	LABIATAE\n日本筋骨草 
Ajuga pygmaea A. Gray	LABIATAE\n矮筋骨草 
Ajuga decumbens Thunb ex Murray	LABIATAE\n匍伏筋骨草 
Ajuga taiwanensis Nakai ex Murata	LABIATAE\n臺灣筋骨草 
Anisomeles indica (L.) Kuntze	LABIATAE\n魚針草 
Basilicum polystachyon (L.) Moench.	LABIATAE\n小冠薰 
Clinopodium gracile (Benth.) Kuntze	LABIATAE\n光風輪 
Clinopodium laxiflorum (Hayata) Mori	LABIATAE\n疏花風輪菜 
Clinopodium laxiflorum (Hayata) Mori var. taiwanianum T. H. Hsieh & T. C. Huang	LABIATAE\n台灣風輪菜 
Clinopodium chinense (Benth.) Kuntze	LABIATAE\n風輪菜 
Coleus formosanus Hayata	LABIATAE\n蘭嶼小鞘蕊花 
Coleus amboinicus Lour.	LABIATAE\n到手香 
Elsholtzia ciliata (Thunb.) Hylander	LABIATAE\n香薷 
Elsholtzia strobilifera Benth.	LABIATAE\n球花香薷 
Glechoma hederacea L. var. grandis (A. Gray) Kudo	LABIATAE\n金錢薄荷\n大馬蹄草\n 
Gomphostemma callicarpoides (Yamamoto) Masam.	LABIATAE\n台灣錐花\n楔冠草\n紫珠葉千日紅
Hyptis brevipes Poir.	LABIATAE\n短柄香苦草 
Hyptis rhomboides Mart. & Gal.	LABIATAE\n頭花香苦草\n白冇骨消\n 
Hyptis spicigera Lam.	LABIATAE\n穗花香苦草 
Hyptis suaveolens (L.) Poir.	LABIATAE\n香苦草\n狗母蘇\n假走馬風
Keiskea macrobracteata Masam.	LABIATAE\n大苞偏穗花\n大萼霜桂花草\n 
Lamium amplexicaule L.	LABIATAE\n寶蓋草\n野芫麻\n抱莖葉
Lamium tuberiferum (Makino) Ohwi	LABIATAE\n塊莖小野芝麻 
Leonurus japonicus Houtt.	LABIATAE\n益母草 
Leucas chinensis (Retz.) R. Br.	LABIATAE\n白花草 
Lycopus lucidus Turcz.	LABIATAE\n地筍 
Melissa axillaris Bakh. f.	LABIATAE\n蜜蜂花\n山薄荷\n蜂草
Mentha canadensis L.	LABIATAE\n薄荷\n單列萼薄荷\n 
Mesona chinensis Benth.	LABIATAE\n仙草 
Mosla chinensis Maxim.	LABIATAE\n乾汗草 
Mosla dianthera (Buch.-Ham. ex Roxb.) Maxim.	LABIATAE\n粗鋸齒薺薴 
Mosla scabra (Thunb.) C. Y. Wu & H. W. Li	LABIATAE\n石薺薴 
Origanum vulgare L.	LABIATAE\n野薄荷 
Orthosiphon aristatus (Blume) Miq.	LABIATAE\n貓鬚草 
Paraphlomis tomentosocapitata Yamamoto	LABIATAE\n絨萼舞子草 
Paraphlomis formosana (Hayata) T. H. Hsieh & T. C. Huang	LABIATAE\n台灣假糙蘇 
Paraphlomis javanica (Blume) Prain	LABIATAE\n假糙蘇 
Perilla frutescens (L.) Britt.	LABIATAE\n荏 
Pogostemon auricularia (L.) Hassk.	LABIATAE\n耳葉刺蕊草\n密花節節紅\n 
Pogostemon formosanus Oliv.	LABIATAE\n台灣刺蕊草\n尖尾鳳\n節節紅
Pogostemon stellatus (Lour.) Kuntze	LABIATAE\n水虎尾 
Prunella vulgaris L. subsp. asiatica (Nakai) Hara	LABIATAE\n夏枯草 
Prunella vulgaris L. subsp. asiatica (Nakai) H. Hara var. nanhutashanensis S. S. Ying	LABIATAE\n高山夏枯草\n南湖大山夏枯草\n 
Rubiteucris palmata (Benth. ex Hook f.) Kudo	LABIATAE\n掌狀野藿香\n裂葉苦草\n 
Salvia arisanensis Hayata	LABIATAE\n阿里山紫緣花鼠尾草 
Salvia coccinea Juss. ex Murr.	LABIATAE\n紅花鼠尾草 
Salvia hayatana Makino ex Hayata	LABIATAE\n早田氏鼠尾草\n白花鼠尾草\n羽葉紫參
Salvia japonica Thunb. ex Murray	LABIATAE\n日本紫花鼠尾草\n南丹參\n 
Salvia keitaoensis Hayata	LABIATAE\n隱藥鼠尾草\n隱藥鼠尾草\n溪頭紫參
Salvia nipponica Miq. var. formosana (Hayata) Kudo	LABIATAE\n黃花鼠尾草\n台灣日紫參\n 
Salvia plebeia R. Br.	LABIATAE\n節毛鼠尾草\n薺薴蛤蟆草\n賴斷頭草
Salvia scapiformis Hance	LABIATAE\n卵葉鼠尾草\n菌柱紫參\n 
Salvia tashiroi Hayata	LABIATAE\n田代氏鼠尾草 
Salvia formosana (Murata) Yamazaki	LABIATAE\n台灣紫花鼠尾草 
Salvia formosana (Murata) Yamazaki var. matsudae (Kudo) T. C. Huang	LABIATAE\n蕨葉紫花鼠尾草 
Scutellaria indica L.	LABIATAE\n印度黃芩\n立浪草\n 
Scutellaria tashiroi Hayata	LABIATAE\n田代氏黃芩 
Scutellaria austrotaiwanensis T. H. Hsieh & T. C. Huang	LABIATAE\n南台灣黃芩 
Scutellaria barbata D. Don	LABIATAE\n向天盞 
Scutellaria playfairii Kudo	LABIATAE\n布烈氏黃芩 
Scutellaria taiwanensis C. Y. Wu	LABIATAE\n臺灣黃芩 
Stachys arvensis L.	LABIATAE\n田野水蘇 
Stachys oblongifolia Benth.	LABIATAE\n長葉水蘇\n長葉草石蠶\n 
Suzukia shikikunensis Kudo	LABIATAE\n鈴木草\n假馬蹄草\n 
Suzukia luchuensis Kudo	LABIATAE\n琉球鈴木草 
Teucrium viscidum Bl.	LABIATAE\n血見愁\n小苦草\n 
Teucrium bidentatum Hemsl.	LABIATAE\n二齒香科科 
Teucrium taiwanianum T.H. Hsieh & T.C. Huang	LABIATAE\n台灣香科科 
Bostrychanthera deflexa Benth.	LABIATAE\n毛藥花 
Comanthosphace formosana Ohwi	LABIATAE\n台灣白木草\n台灣白笏草\n白木草
Isodon amethystoides (Benth.) H. Hara	LABIATAE\n香茶菜\n大屯延命草\n 
Isodon macrocalyx (Dunn) Kudo	LABIATAE\n大萼香茶菜\n台灣延命草\n 
Isodon serra (Maxim.) Kudo	LABIATAE\n鋸葉香茶菜\n毛果延命草\n 
Brugmansia suaveolens (Willd.) Bercht. & Presl	SOLANACEAE\n大花曼陀羅 
Capsicum annuum L.	SOLANACEAE\n辣椒 
Datura metel L.	SOLANACEAE\n曼陀羅\n洋金花\n 
Datura inoxia Mill.	SOLANACEAE\n毛曼陀羅 
Lycium chinense Mill.	SOLANACEAE\n枸杞 
Lycopersicon esculentum var. cerasiforme (Dunal) A. Gray	SOLANACEAE\n櫻桃小番茄 
Nicandra physalodes (L.) Gaertn.	SOLANACEAE\n大本炮仔草 
Physalis angulata L.	SOLANACEAE\n燈籠草\n苦蘵\n 
Physalis peruviana L.	SOLANACEAE\n秘魯苦蘵\n燈籠果\n 
Physalis pubescens L.	SOLANACEAE\n毛酸漿 
Solanum luzoniense Merrill	SOLANACEAE\n呂宋茄 
Solanum lyratum Thunb.	SOLANACEAE\n白英 
Solanum nigrum L.	SOLANACEAE\n龍葵 
Solanum pseudocapsicum L.	SOLANACEAE\n珊瑚櫻\n玉珊瑚\n 
Solanum seaforthianum Andrews	SOLANACEAE\n星茄\n南青杞\n 
Solanum sisymbriifolium Lam.	SOLANACEAE\n擬刺茄\n蒜介茄\n二裂星毛刺茄
Solanum torvum Swartz	SOLANACEAE\n萬桃花\n水茄\n 
Solanum americanum Miller	SOLANACEAE\n光果龍葵 
Solanum capsicoides Allioni	SOLANACEAE\n刺茄\n牛茄子\n 
Solanum diphyllum L.	SOLANACEAE\n瑪瑙珠\n黃果龍葵\n 
Solanum erianthum D. Don	SOLANACEAE\n山煙草\n假煙葉樹\n 
Solanum lasiocarpum Dunal	SOLANACEAE\n羊不食\n毛茄\n 
Solanum macaonense Dunal	SOLANACEAE\n毛柱萬桃花\n山茄\n 
Solanum peikuoensis S. S. Ying	SOLANACEAE\n白狗大山茄 
Solanum pittosporifolium Hemsl.	SOLANACEAE\n玉山茄\n海桐葉白英\n 
Solanum scabrum Miller	SOLANACEAE\n木龍葵 
Solanum undatum Lam.	SOLANACEAE\n黃水茄\n野茄\n 
Solanum violaceum Ortega	SOLANACEAE\n印度茄\n南天茄\n 
Solanum melongena L.	SOLANACEAE\n茄 
Solanum rostratum Dunal	SOLANACEAE\n壼萼刺茄 
Tubocapsicum anomalum (Franch. & Sav.) Makino	SOLANACEAE\n龍珠 
Lycianthes biflora (Lour.) Bitter	SOLANACEAE\n雙花龍葵\n耳鉤草\n 
Lycianthes lysimachioides (Wall.) Bitter	SOLANACEAE\n蔓茄 
Physaliastrum chamaesarachoides (Makino) Makino	SOLANACEAE\n林氏燈籠草\n廣西地海椒\n 
Bacopa monnieri (L.) Wettst.	SCROPHULARIACEAE\n過長沙\n百克爬草\n 
Centranthera cochinchinensis (Lour.) Merr.	SCROPHULARIACEAE\n胡麻草 
Digitalis purpurea L.	SCROPHULARIACEAE\n毛地黃 
Dopatrium junceum (Roxb.) Buch.-Ham. ex Benth.	SCROPHULARIACEAE\n虻眼草 
Ellisiophyllum pinnatum (Wall. ex Benth.) Makino	SCROPHULARIACEAE\n海螺菊\n幌菊\n 
Euphrasia nankotaizanensis Yamamoto	SCROPHULARIACEAE\n南湖碎雪草 
Euphrasia tarokoana Ohwi	SCROPHULARIACEAE\n太魯閣小米草 
Euphrasia transmorrisonensis Hayata	SCROPHULARIACEAE\n玉山小米草 
Euphrasia transmorrisonensis Hayata var. durietziana (Ohwi) T. C. Hu	SCROPHULARIACEAE\n台灣碎雪草\n多腺毛小米草\n 
Hemiphragma heterophyllum Wall.	SCROPHULARIACEAE\n腰只花 
Limnophila aromatica (Lam.) Merr.	SCROPHULARIACEAE\n紫蘇草 
Limnophila rugosa (Roth) Merr.	SCROPHULARIACEAE\n大葉石龍尾\n田香草\n水胡椒
Limnophila trichophylla Komarov	SCROPHULARIACEAE\n石龍尾\n菊藻\n 
Limnophila aromaticoides Yuen P. Yang & S. H. Yen	SCROPHULARIACEAE\n擬紫蘇草 
Limnophila heterophylla (Roxb.) Benth.	SCROPHULARIACEAE\n異葉石龍尾 
Limnophila sessiliflora Bl.	SCROPHULARIACEAE\n無柄花石龍尾 
Limnophila taoyuanensis Yuen P. Yang & S. H. Yen	SCROPHULARIACEAE\n桃園石龍尾 
Lindernia anagallidea (Michx.) Pennell	SCROPHULARIACEAE\n擬櫻草 
Lindernia anagallis (Burm. f.) Pennell	SCROPHULARIACEAE\n定經草\n白花蛇舌草\n 
Lindernia antipoda (L.) Alston	SCROPHULARIACEAE\n泥花草 
Lindernia ciliata (Colsm.) Pennell	SCROPHULARIACEAE\n水丁黃 
Lindernia crustacea (L.) F. Muell.	SCROPHULARIACEAE\n藍豬耳 
Lindernia dubia (L.) Pennell	SCROPHULARIACEAE\n美洲母草 
Lindernia hyssopioides (L.) Haines	SCROPHULARIACEAE\n尖果母草 
Lindernia mollis (Benth.) Wettst.	SCROPHULARIACEAE\n見風黃 
Lindernia procumbens (Krock.) Borbas	SCROPHULARIACEAE\n陌上草 
Lindernia pusilla (Willd.) Boldingh	SCROPHULARIACEAE\n見風紅 
Lindernia ruellioides (Colsm.) Pennell	SCROPHULARIACEAE\n旱田草 
Lindernia scutellariiformis Yamazaki	SCROPHULARIACEAE\n台南見風紅 
Lindernia tenuifolia (Colsm.) Alston	SCROPHULARIACEAE\n薄葉見風紅 
Lindernia viscosa (Hormem.) Boldingh	SCROPHULARIACEAE\n屏東見風紅 
Lindernia vitacea (Kerr ex Barnett) Philcox	SCROPHULARIACEAE\n擬泥花草 
Mazus alpinus Masam.	SCROPHULARIACEAE\n高山通泉草 
Mazus delavayi Bonati	SCROPHULARIACEAE\n阿里山通泉草 
Mazus fauriei Bonati	SCROPHULARIACEAE\n佛氏通泉草\n台灣通泉草\n 
Mazus miquelii Makino	SCROPHULARIACEAE\n烏子草\n米舅通泉草\n葡莖通泉草
Mazus pumilus (Burm. f.) Steenis	SCROPHULARIACEAE\n通泉草 
Mazus tainanensis T. H. Hsieh	SCROPHULARIACEAE\n台南通泉草 
Mazus goodenifolius (Hornem.) Pennell	SCROPHULARIACEAE\n薄葉通泉草 
Microcarpaea minima (Koenig) Merr.	SCROPHULARIACEAE\n微果草 
Mimulus tenellus Bunge var. japonicus (Miq.) Hand.-Mazz.	SCROPHULARIACEAE\n泥泊爾溝酸漿 
Paulownia fortunei Hemsl.	SCROPHULARIACEAE\n泡桐\n南投梧桐\n 
Paulownia kawakamii Ito	SCROPHULARIACEAE\n白桐\n川泡桐\n準東泡桐
Paulownia × taiwaniana T. W. Hu. & H. J. Chang	SCROPHULARIACEAE\n台灣泡桐 
Pedicularis ikomai Sasaki	SCROPHULARIACEAE\n高山馬先蒿\n馬先蒿草\n 
Pedicularis verticillata L.	SCROPHULARIACEAE\n馬先蒿\n玉山蒿草\n 
Phtheirospermum japonicum (Thunb.) Kanitz	SCROPHULARIACEAE\n日本松蒿 
Scopia dulcis L.	SCROPHULARIACEAE\n野甘草\n鈕吊金英\n珠仔草
Scrophularia formosana Li	SCROPHULARIACEAE\n台灣玄參 
Scrophularia yoshimurae Yamazaki	SCROPHULARIACEAE\n雙鋸齒玄參\n雙鋸葉玄參\n 
Siphonostegia chinensis Benth.	SCROPHULARIACEAE\n陰行草 
Striga lutea Lour.	SCROPHULARIACEAE\n獨腳金 
Striga masuria (Buch.-Ham. ex Benth.) Benth.	SCROPHULARIACEAE\n高雄獨腳金 
Torenia concolor Lindl.	SCROPHULARIACEAE\n倒地蜈蚣\n地蜈蚣\n 
Torenia flava Buch.- Ham. ex Benth.	SCROPHULARIACEAE\n母丁香 
Torenia violacea (Azaola ex Blanco) Pennell	SCROPHULARIACEAE\n長梗花蜈蚣 
Veronica arvensis L.	SCROPHULARIACEAE\n直立婆婆納 
Veronica didyma Tenore	SCROPHULARIACEAE\n婆婆納 
Veronica javanica Blume	SCROPHULARIACEAE\n爪哇水苦賈 
Veronica linariifolia Pallas ex Link	SCROPHULARIACEAE\n追風草\n細葉婆婆納\n 
Veronica morrisonicola Hayata	SCROPHULARIACEAE\n玉山水苦賈 
Veronica oligosperma Hayata	SCROPHULARIACEAE\n貧子水苦賈 
Veronica peregrina L.	SCROPHULARIACEAE\n毛蟲婆婆納 
Veronica persica Poir.	SCROPHULARIACEAE\n阿拉伯婆婆納\n台北水苦賈\n 
Veronica taiwanica Yamazaki	SCROPHULARIACEAE\n台灣水苦賈 
Veronica undulata Wall.	SCROPHULARIACEAE\n水苦賈 
Veronicastrum formosanum (Masam.) Yamazaki	SCROPHULARIACEAE\n台灣腹水草 
Veronicastrum kitamurae (Ohwi) Yamazaki	SCROPHULARIACEAE\n高山腹水草 
Veronicastrum axillare (Siebold & Zucc.) Yamaz. var. simadae (Masam.) H. Y. Liu	SCROPHULARIACEAE\n新竹腹水草 
Alectra avensis (Benth.) Merr.	SCROPHULARIACEAE\n黑蒴 
Deinostema adenocaulon (Maxim.) Yamazaki	SCROPHULARIACEAE\n毛澤番椒 
Deinostema violaceum (Maxim.) Yamazaki	SCROPHULARIACEAE\n澤番椒 
Legazpia polygonoides (Benth.) Yamazaki	SCROPHULARIACEAE\n三翅萼 
Mecardonia procumbens (Mill.) Small	SCROPHULARIACEAE\n黃花過長沙舅 
Radermachia sinica (Hance) Hemsl.	BIGNONIACEAE\n山菜豆 
Asystasiella neesiana (Nees) Lindau	ACANTHACEAE\n尼氏擬馬偕花 
Blechum pyramidatum (Lam.) Urban.	ACANTHACEAE\n賽山藍 
Codonacanthus pauciflorus (Nees) Nees	ACANTHACEAE\n針刺草 
Dicliptera chinensis (L.) Juss.	ACANTHACEAE\n華九頭獅子草 
Dipteracanthus repens (L.) Hassk.	ACANTHACEAE\n蘆利草 
Hemigraphis cumingiana (Nees) F.-Vill.	ACANTHACEAE\n直立半插花 
Hemigraphis primulifolia (Nees) F.-Vill.	ACANTHACEAE\n恆春半插花 
Hemigraphis reptans (Forst.) Ander. ex Hemsl.	ACANTHACEAE\n匍匐半插花 
Hygrophila lancea (Thunb.) Miq.	ACANTHACEAE\n水蓑衣 
Hygrophila pogonocalyx Hayata	ACANTHACEAE\n大安水蓑衣 
Hygrophila salicifolia (Vahl) Nees	ACANTHACEAE\n柳葉水蓑衣 
Hygrophila polysperma T. Anders.	ACANTHACEAE\n小獅子草 
Hypoestes cumingiana Benth. & Hook.	ACANTHACEAE\n槍刀菜 
Hypoestes purpurea R. Br.	ACANTHACEAE\n六角英 
Justicia ciliata (Yamamoto) Hsieh & Huang	ACANTHACEAE\n澎湖爵床 
Justicia procumbens L.	ACANTHACEAE\n爵床 
Justicia procumbens L. var. hayatae (Yamamoto) Ohwi	ACANTHACEAE\n早田氏爵床 
Justicia procumbens L. var. hirsuta Yamamoto	ACANTHACEAE\n密毛爵床\n澎湖爵床\n 
Justicia procumbens L. var. linearifolia Yamamoto	ACANTHACEAE\n狹葉爵床 
Justicia quadrifaria (Nees) T. Anders.	ACANTHACEAE\n花蓮爵床 
Justicia simplex D. Don	ACANTHACEAE\n田烏串 
Justicia gendarussa Burm. f.	ACANTHACEAE\n尖尾鳳 
Kudoacanthus albonervosa Hosok.	ACANTHACEAE\n銀脈爵床 
Lepidagathis formosensis Clarke ex Hayata	ACANTHACEAE\n台灣鱗球花 
Lepidagathis inaequalis Clarke ex Elmer	ACANTHACEAE\n卵葉鱗球花 
Lepidagathis secunda (Blanco) Nees	ACANTHACEAE\n小琉球鱗球花 
Lepidagathis stenophylla Clarke ex Hayata	ACANTHACEAE\n柳葉鱗球花 
Peristrophe japonica (Thunb.) Bremek.	ACANTHACEAE\n九頭獅子草 
Peristrophe roxburghiana (Schult.) Bremek.	ACANTHACEAE\n長花九頭獅子草 
Rungia chinensis Benth.	ACANTHACEAE\n明萼草 
Rungia taiwanensis Yamazaki	ACANTHACEAE\n台灣明萼草 
Staurogyne concinnula (Hance) O. Ktze.	ACANTHACEAE\n哈哼花 
Staurogyne debilis (T. Auders.) C. B. Clarke ex Mill.	ACANTHACEAE\n菲律賓哈哼花 
Strobilanthes cusia (Ness) Kuntze	ACANTHACEAE\n馬藍 
Strobilanthes flexicaulis Hayata	ACANTHACEAE\n曲莖馬藍 
Strobilanthes formosanus Moore	ACANTHACEAE\n台灣馬藍 
Strobilanthes longespicatus Hayata	ACANTHACEAE\n長穗馬藍 
Strobilanthes penstemonoides T. Anders.	ACANTHACEAE\n腺萼馬藍 
Strobilanthes rankanensis Hayata	ACANTHACEAE\n蘭崁馬藍 
Aeschynanthus acuminatus Wall. ex A. DC.	GESNERIACEAE\n芒毛苣苔 
Chirita anachoreta Hance	GESNERIACEAE\n光萼唇柱苣苔 
Conandron ramondioides Siebold & Zucc.	GESNERIACEAE\n苦苣苔 
Cyrtandra umbellifera Merr.	GESNERIACEAE\n槳果苣苔 
Didymocarpus anachoreta (Hance) Lév.	GESNERIACEAE\n長蒴苣苔 
Hemiboea bicornuta (Hayata) Ohwi	GESNERIACEAE\n台灣半蒴苣苔 
Lysionotus pauciflorus Maxim.	GESNERIACEAE\n石吊蘭 
Lysionotus pauciflorus Maxim. var. ikedae (Hatusima) W. T. Wang	GESNERIACEAE\n蘭嶼吊石苣苔 
Rhynchoglossum obliquum Blume var. hologlossum (Hayata) W. T. Wang	GESNERIACEAE\n全唇尖舌苣苔 
Rhynchotechum discolor (Maxim.) Burtt	GESNERIACEAE\n異色線柱苣苔 
Rhynchotechum discolor (Maxim.) Burtt var. incisum (Ohwi) Walker	GESNERIACEAE\n羽裂線柱苣苔 
Rhynchotechum formosanum Hatusima	GESNERIACEAE\n台灣線柱苣苔 
Rhynchotechum brevipedunculatum J. C. Wang	GESNERIACEAE\n短梗同蕊草\n線柱苣苔\n 
